tf_name,experiment_accession,file_accession,md5
ATF2,ENCSR000BQU,ENCFF753UWI,e85288dff7ba64b0c76ea7fa6e02e687
ATF3,ENCSR000BKC,ENCFF040VAM,bd11ecbd5f3b75860daa6e732b57a24f
BACH1,ENCSR000EBQ,ENCFF708AGE,ad467eec679c9dd8779b36cb76f9a2c8
BCL11A,ENCSR000BMJ,ENCFF262EKX,de8c9ccce37c5196f185be38e3e30911
BRCA1,ENCSR000EBX,ENCFF645PPS,8dd3c7dd18e1a71c0c4509f0f2679912
CEBPB,ENCSR000EBV,ENCFF848GIM,e17d35b3a3d7c93ec1efd30b0b6e9b97
CHD1,ENCSR000AQK,ENCFF501KVK,405a4921b7b69653876e55dce5059a98
CHD2,ENCSR000EBT,ENCFF534XQC,03f8bd07b2bbf1a7b1e8caa4bdb3efee
CHD7,ENCSR000AVA,ENCFF276JMG,7ce60676bbd9642d317fb6bdfc662620
CREB1,ENCSR000BSN,ENCFF355ARF,714c87d15254f307908f6747ea0a1d5f
CTBP2,ENCSR000EUO,ENCFF197PBN,5e7c1bea61cba47c04c5ea3ee46baf25
CTCF,ENCSR000AMF,ENCFF692RPA,c3c17414a7f588e17f0b53a38befbd0b
E2F6,ENCSR000BSI,ENCFF174AVU,b95060a21787373240a3e980ca76f4bb
EGR1,ENCSR000BJA,ENCFF100KKH,229cf679dca12d41238c34fec3fa7bfa
EP300,ENCSR000BKK,ENCFF244VKF,a5fd8938ab8ac933d808bf88406c236a
EZH2,ENCSR000ASY,ENCFF798ICZ,78f4d6d56139f40fca100f23a0f5b1b2
FOSL1,ENCSR000BNS,ENCFF722EJC,86d1cf11010eac7b178fd4e1c1a3feab
GABPA,ENCSR000BIW,ENCFF067LQT,6204bdc3df1528cf640004bc16f56f40
GTF2F1,ENCSR000EBP,ENCFF849KNY,f3f7d64b8f7c92ef1ea6fd91b5816000
HDAC2,ENCSR000BNR,ENCFF198GZM,08fc27ff99232579a68dbc1cb48188c5
HDAC6,ENCSR000ATQ,ENCFF802HUU,2699038a4b552d45a9d31548e1a3c243
JUN,ENCSR000ECA,ENCFF241WLV,4dd01167de354acb4468f28a83a40ef1
JUND,ENCSR000BKP,ENCFF985JZR,ab7deeb7d2fd765d9a8c13d0409f6a73
KDM4A,ENCSR000AVC,ENCFF021QGZ,1f1bfb8de62a6052e7f400606e8eec6d
KDM5A,ENCSR160ZLP,ENCFF471OCM,4270db71b2d5760a6eba69103194b08f
MAFK,ENCSR000EBS,ENCFF388ORT,1aa49a97c864b2dbb05c97a657de3d3a
MAX,ENCSR000BSJ,ENCFF460LNS,49b2fae44d4bb1ea24fc438529071065
MXI1,ENCSR000EBR,ENCFF727RNJ,4c073d6fcdff7e42a35ff630c517ca95
MYC,ENCSR000EBY,ENCFF832BQY,459e8a2899b37e3caeec56c8d53e0120
NANOG,ENCSR000BMT,ENCFF154MKP,dfe8040edb4cb4d31a2f579de16438b8
NRF1,ENCSR000ECC,ENCFF797OHO,323ebff263e44632ffba640e3c1d167f
PHF8,ENCSR000ATK,ENCFF704UJB,82729bce12c40d455f948de0601bfc76
POLR2A,ENCSR000BHN,ENCFF322DAE,6185fc7b7eef226c95744779b6ed977e
POLR2A_S5P,ENCSR000BIC,ENCFF355OFX,04dbbb17b0199cb08c1282f333c60357
POU5F1,ENCSR000BMU,ENCFF614KWI,af9674d163ec3b91cfc73124b3d4f5cb
RAD21,ENCSR000BLD,ENCFF083THI,705b72bc144dae98d72dce9a064ebff5
RBBP5,ENCSR000AQC,ENCFF610PCN,4a52900ba3e9a48ab0a2947076b9efd4
REST,ENCSR000BHM,ENCFF498DTC,5f642d61cc7812e4fee2b23e874420f5
RFX5,ENCSR000ECF,ENCFF953PQS,cd04dc321896bb186d36abc5e8cc1c52
RXRA,ENCSR000BJW,ENCFF807CZB,b531e06efbc0bc6dafd1c38214fb676f
SAP30,ENCSR000ATR,ENCFF729TNA,db614749a725136a7bb77b068fcd6ac7
SIN3A,ENCSR000BIS,ENCFF535TQT,86db2465e2b02cf2435f33b92d1ccf50
SIRT6,ENCSR000AUS,ENCFF219XEX,c7740986fb1594e17c340329ee351f42
SIX5,ENCSR000BIQ,ENCFF384KWP,0387d9d40cb1b44c5022b34b051fda16
SP1,ENCSR000BIR,ENCFF595TYX,9bc05b5d99a9dfafe972d5586adb062e
SP2,ENCSR000BQG,ENCFF590EPN,930225691ba792f93990cd2541d8143c
SP4,ENCSR000BQV,ENCFF773ZDH,d6dbd9f24074ed85df554e246a1b193f
SRF,ENCSR000BIV,ENCFF648QJE,3fdd15d3388adf4f578644b4e06a2fdb
SUZ12,ENCSR000ATS,ENCFF233GVJ,23c6105aa0020a24968c888549e61343
TAF1,ENCSR000BHO,ENCFF391HRF,638d46971e850877a36096d52360e76e
TAF7,ENCSR000BLU,ENCFF243PSJ,7ca8e296ed81a8ede4969ea54007a197
TBP,ENCSR000ECB,ENCFF484BPF,c56d4a8e5d4d5d0a61ff04dbf93a3009
TCF12,ENCSR000BIT,ENCFF998ABW,472bd30722673ce11b9af1da6d0c7450
TEAD4,ENCSR000BRY,ENCFF344YVU,7f815cc6679594c1a0abbeeaa9355475
USF1,ENCSR000BIU,ENCFF410BED,4a27682b1f79e5a71026dd7c8df7de4e
USF2,ENCSR000ECD,ENCFF313TTR,9c8567153e45619f5e79252e351b7950
YY1,ENCSR000BKD,ENCFF651UWG,7cf29439d55321f95d817d087cc19b9b
ZNF274,ENCSR000EUN,ENCFF171JFU,b8306a5f924081e9fd1674e2943437d9
