gene_symbol,identity_score,fitness_score
0610007P14RIK,-0.0569,-0.2201
0610009B22RIK,0.2918,-0.085
0610009D07RIK,-0.1084,2.6281
0610009O20RIK,0.9505,-0.4085
0610010F05RIK,-0.417,-0.0895
0610010K14RIK,0.1084,-0.3733
0610011F06RIK,-1.8845,-0.2854
0610012H03RIK,0.1828,-0.4047
0610030E20RIK,0.3058,-1.9896
0610031J06RIK,0.6234,0.2153
0610037L13RIK,0.136,-0.163
0610040J01RIK,0.1619,-0.2581
1100001G20RIK,-0.0911,0.0742
1110001A16RIK,0.0952,-0.4217
1110001J03RIK,-0.607,0.1811
1110004E09RIK,-0.4782,3.5629
1110004F10RIK,0.1048,0.051
1110007C09RIK,0.7603,-0.2835
1110008F13RIK,0.2603,-0.4603
1110008J03RIK,-0.1282,-0.0559
1110008L16RIK,-0.5374,2.8516
1110008P14RIK,0.3877,-1.0457
1110012L19RIK,-0.7762,0.2374
1110017D15RIK,0.0391,-0.2219
1110032A03RIK,1.8169,-0.5813
1110032F04RIK,0.4547,-0.6672
1110034G24RIK,-1.1179,-0.8216
1110037F02RIK,3.982,-0.0357
1110051M20RIK,0.2512,-1.0264
1110057K04RIK,1.3352,-0.0457
1110058L19RIK,-0.1188,0.0138
1110059E24RIK,0.1121,0.0445
1110059G10RIK,0.4253,-0.839
1110059M19RIK,0.0654,-0.9572
1110065P20RIK,-0.1861,0.0108
1190002N15RIK,-1.0815,0.2139
1190003K10RIK,-0.8675,-0.5283
1190005I06RIK,-0.0655,-1.1833
1190007I07RIK,-0.0988,0.6747
1200011I18RIK,-0.1019,-0.2648
1200014J11RIK,-0.3719,-0.8017
1300002K09RIK,-0.9017,-0.0114
1300017J02RIK,-0.0185,-0.0819
1500009L16RIK,0.397,0.0457
1500012F01RIK,-0.0782,0.0035
1500015O10RIK,0.5953,-0.0002
1600002H07RIK,-0.6884,0.9549
1600002K03RIK,0.2736,-0.6619
1600012H06RIK,0.1807,-0.5582
1600014C23RIK,-0.3711,-0.1937
1600014K23RIK,-0.0429,-0.5087
1600015I10RIK,0.221,-1.4016
1600016N20RIK,-0.374,1.3839
1600029D21RIK,0.4592,0.028
1700001C02RIK,-0.6129,0.0814
1700001C19RIK,-0.2751,-0.1628
1700001J03RIK,-0.8682,0.9041
1700001K19RIK,-0.1568,-0.0519
1700001L19RIK,-0.9453,0.0026
1700001O22RIK,1.1728,-0.6857
1700001P01RIK,-0.5029,0.6111
1700003E16RIK,0.2828,-1.1641
1700003F12RIK,-0.5526,0.0891
1700003M02RIK,0.2135,0.3654
1700006A11RIK,-0.5675,-1.2953
1700006E09RIK,0.0603,-0.5253
1700007B14RIK,-0.5949,-0.082
1700007G11RIK,0.8123,-0.1164
1700007K09RIK,-0.5778,0.0568
1700007K13RIK,-0.1397,0.1219
1700008A04RIK,-0.0811,0.3418
1700008F21RIK,-0.1639,0.738
1700008I05RIK,0.6811,0.0952
1700008O03RIK,-0.4201,-0.4896
1700008P02RIK,-0.3481,-0.4489
1700009N14RIK,0.6846,-1.3051
1700009P17RIK,-0.2739,0.2768
1700010B08RIK,-0.2821,0.5044
1700010D01RIK,0.3183,-0.1195
1700010I14RIK,0.8952,-1.1425
1700011A15RIK,1.0362,-0.5833
1700011E24RIK,0.1366,-0.5019
1700011H14RIK,-0.1482,-0.6548
1700011I03RIK,0.0685,-1.0878
1700011L22RIK,0.3575,-0.2009
1700012A03RIK,-1.1746,-0.2053
1700012B07RIK,0.4488,-0.4819
1700012B09RIK,0.0884,-0.0858
1700012L04RIK,0.8007,-1.2102
1700012P22RIK,1.1504,-0.8086
1700013D24RIK,-0.0831,-0.131
1700013F07RIK,-0.656,1.0919
1700013G24RIK,-0.1776,-0.6535
1700013H16RIK,-0.1416,-0.1288
1700015E13RIK,-0.4232,-0.1392
1700015F17RIK,-0.3784,0.3334
1700015G11RIK,-1.2617,0.1405
1700016C15RIK,-0.1623,0.0975
1700016D06RIK,0.7173,-1.2198
1700016H13RIK,0.3941,-0.0122
1700016K19RIK,-0.5899,-0.2172
1700017B05RIK,-0.6087,-0.4938
1700017D01RIK,-1.6375,-0.0734
1700017N19RIK,-0.1215,0.3276
1700018B08RIK,-0.668,0.5637
1700018C11RIK,1.1791,-0.4693
1700018F24RIK,-0.1716,1.3659
1700019A02RIK,0.9306,-0.1055
1700019B03RIK,0.7815,-1.1603
1700019D03RIK,0.2854,0.0929
1700019G17RIK,0.0433,0.0494
1700019L03RIK,-0.5011,0.2089
1700019N19RIK,-0.0189,0.2294
1700019O17RIK,0.0787,-0.0199
1700020A23RIK,0.8909,-1.2867
1700020L24RIK,0.4059,-1.2296
1700020N15RIK,-0.4506,-0.0179
1700021F05RIK,-0.0857,-0.1823
1700021F07RIK,0.286,-0.3231
1700021K19RIK,-0.0384,-0.6183
1700022I11RIK,0.2937,0.0319
1700022P22RIK,0.8318,-0.715
1700023E05RIK,1.2323,-0.4702
1700023F06RIK,-0.7691,-0.2078
1700024G13RIK,1.1588,-0.3631
1700024P04RIK,0.2043,-0.4648
1700024P16RIK,-1.3003,0.7651
1700025F22RIK,-0.2653,-0.0838
1700025G04RIK,0.1291,0.0023
1700026D08RIK,0.2904,-0.1681
1700026L06RIK,-1.3541,0.354
1700028K03RIK,-1.0954,-0.0726
1700028P14RIK,-0.3793,-0.0692
1700029F12RIK,0.1243,-0.4159
1700029H14RIK,0.5794,-0.8695
1700029I15RIK,-0.1634,-0.5472
1700029J07RIK,-0.147,0.279
1700029P11RIK,-0.2973,0.2376
1700030F18RIK,0.5657,-0.1963
1700030J22RIK,1.2203,-0.2132
1700030K09RIK,0.106,-0.0194
1700031F05RIK,-0.378,0.155
1700034E13RIK,0.1132,-0.3705
1700034F02RIK,-0.3083,-0.0732
1700034J05RIK,0.4851,-1.5643
1700034O15RIK,-0.2197,-1.0955
1700037C18RIK,0.082,-0.2376
1700037H04RIK,-0.4289,0.2047
1700039E15RIK,0.8451,-0.735
1700040L02RIK,0.786,-0.2201
1700042B14RIK,0.1756,-0.1734
1700042G07RIK,0.5362,-0.7397
1700049G17RIK,0.0779,0.1617
1700052N19RIK,0.2097,0.0373
1700054O13RIK,0.4472,-1.4745
1700055N04RIK,-0.1184,-0.2009
1700056E22RIK,0.2842,-0.955
1700057G04RIK,-0.018,-0.2154
1700061G19RIK,0.0622,-0.0788
1700065I17RIK,-0.1176,-0.1156
1700066B19RIK,-0.3029,0.0837
1700066M21RIK,1.4912,-0.1516
1700067K01RIK,1.3565,-0.7703
1700067P10RIK,-0.3361,0.4433
1700074P13RIK,0.0512,-0.0476
1700080E11RIK,-0.0209,-0.1698
1700080O16RIK,-0.2476,-0.1829
1700084C01RIK,0.3306,-0.5027
1700088E04RIK,0.183,-0.3138
1700092M07RIK,0.4277,-0.1795
1700093K21RIK,0.8945,-0.2885
1700094D03RIK,-0.4203,-0.0317
1700101E01RIK,-0.5873,-0.0642
1700102P08RIK,0.0342,-0.298
1700106J16RIK,-0.5889,-0.2435
1700109H08RIK,-0.5351,0.1153
1700110M21RIK,-0.4528,-0.36
1700112E06RIK,0.1554,-0.7338
1700113H08RIK,0.1738,0.0102
1700122O11RIK,0.0314,-0.5272
1700123I01RIK,-0.1214,-0.0504
1700123K08RIK,-0.3553,0.165
1700123O20RIK,0.0306,-0.1441
1700125H20RIK,0.6412,-0.3657
1700129C05RIK,-0.2576,0.1401
1810009A15RIK,1.0497,0.5491
1810009J06RIK,-0.5668,1.1096
1810011H11RIK,0.277,-0.2961
1810011O10RIK,0.1439,-0.1009
1810013L24RIK,-0.3169,2.9801
1810019J16RIK,-0.0277,-0.8522
1810024B03RIK,-0.0376,0.0424
1810026J23RIK,0.1694,5.3946
1810030O07RIK,-0.32,0.3438
1810033B17RIK,0.5384,-0.09
1810037I17RIK,0.427,0.1716
1810041L15RIK,1.7298,-0.9609
1810043G02RIK,-0.439,0.6448
