gene_symbol,NE_pluripotency_score,E8_self_renewal_score
OTUD5,1.0,-0.4280385592326918
SOX2,1.0,-0.0998793214062295
TAF5L,1.0,0.2274716975496598
TADA1,1.0,-0.4087219816404571
SUPT20H,1.0,-0.3681811230140404
STAG2,1.0,-0.3830033579568771
TAF6L,1.0,-0.2316552738578441
TADA2B,1.0,0.2274298408868926
ESRP1,1.0,-0.4318257238669802
MED13L,1.0,-0.6400727383726914
TRIP12,1.0,-0.1537679430010715
GLTSCR1,1.0,0.0152508416743751
RBPMS2,1.0,0.3437596131486817
UBAP2L,1.0,0.3008909165106888
BRD9,1.0,0.0783527258853508
KAT2A,1.0,0.3198528733168718
EP300,1.0,0.2542005167680997
MAU2,1.0,-0.1895558641351333
MED13,1.0,-0.3323403492148017
MED19,1.0,-0.3806081741563608
TAF4,1.0,0.0148417235943768
SMARCD1,1.0,0.0305940906154434
SUPT7L,1.0,0.0114357284283407
CNOT11,1.0,0.1616389353208183
ZNF423,1.0,0.5345576208527847
RFWD2,1.0,-0.1277812778984717
RBM12,1.0,0.1703603270069175
SIRT1,1.0,-0.2042264411340561
TGFBR2,1.0,0.0922485862680337
SP1,1.0,0.1552799353552283
RALGAPB,1.0,-0.0469808059115083
CCDC101,1.0,0.3690896302554309
INO80E,1.0,0.1439838382296475
UBR5,1.0,-0.2089239217053727
PAN2,1.0,-0.0875242007438668
GIGYF2,1.0,0.1073878432431327
TADA3,1.0,-0.7593624992862755
DET1,1.0,-0.1818487714217059
NF2,1.0,0.4289724372627128
BRPF1,1.0,0.2632392133168744
MED16,1.0,0.2032932062004738
PRDM14,1.0,0.2110024700471437
HNRNPUL1,1.0,-0.1417945138125715
NR5A2,1.0,0.056473903147691
DNAJB6,1.0,0.0661867837542579
SMARCA4,1.0,-0.5061050953271442
MEN1,1.0,-0.397030027768844
MED12,1.0,0.0433633891798958
RUNX1T1,1.0,0.2505841714179306
FUT6,1.0,0.4268774213684265
RBM47,1.0,-0.195804650503622
MED23,1.0,0.3804559804759112
TBC1D15,1.0,0.1825067776362753
MYO9B,1.0,-0.3962888435000015
FOXI3,1.0,-0.0728365505974232
MED10,1.0,0.6793483451081053
SMAD2,1.0,-0.1295454659073717
SPEN,1.0,-0.2462261803350931
PAXIP1,1.0,-0.2955151192413557
IPO9,1.0,0.4212978100935631
MED24,1.0,-0.2187235892058489
CNOT10,1.0,0.4375502418817547
UBA3,1.0,-0.0558643773447497
TAF3,1.0,0.1934578774763935
MED15,1.0,0.0374633926976058
INO80D,1.0,0.4894720898145739
RAVER1,1.0,0.0558712349484209
HSPA4,1.0,0.5048867279168285
PSIP1,1.0,-0.2827306804128485
HDAC8,1.0,-0.4906887972897364
SPACA5,1.0,-0.4793520168100795
UCHL5,1.0,0.112071532983359
RAD21,1.0,0.3367152089513499
LOC653602,1.0,-0.1313896432785888
GRB2,1.0,0.3425179073009064
BRD3,1.0,0.7504408062373227
FOXP4,1.0,-0.0490510786886327
DHRS7B,1.0,0.422073923451963
KCTD3,1.0,0.0588876417284096
DRAP1,1.0,-0.0220858919105304
BICD1,1.0,0.5224021965397398
LAIR2,1.0,-0.1599664353085723
NANOG,1.0,0.1835235532772871
TGFBR1,1.0,-0.181054343263767
MPC1,1.0,-0.3010512339773916
MED25,1.0,0.5453542079245278
DHX29,1.0,-0.083493253533043
USP22,1.0,0.0932068192424623
ADAMTS1,1.0,0.0817832503018316
BTAF1,1.0,-0.1150648393009263
UTY,1.0,-0.0090584018352612
TCF7L1,1.0,0.5827487175024189
RQCD1,1.0,0.2497740652524306
FZR1,1.0,0.0999125862126908
UPF3B,1.0,-0.0663167090791098
KCNQ1,1.0,0.1392380672335227
KMT2D,1.0,-0.4908719770202572
NAE1,1.0,0.2444410499102537
SUZ12,1.0,-0.0600172391341281
FBXO28,1.0,-0.1480497420752156
GSK3B,1.0,-0.1401268156008394
TAF12,1.0,0.2411995059300059
ATXN2L,1.0,0.3997440658136877
KCTD10,1.0,-0.0764089695690195
ATXN7L3,1.0,-0.2396407487162057
ROR1,1.0,-0.0986641948629189
DYRK1A,1.0,-0.2066189909648796
GSTZ1,1.0,-0.1778109259991353
NUDT22,1.0,-0.3024581699359739
MIER3,1.0,0.4026843778235704
ATF7IP,1.0,0.4950410031621899
CACNA1G,1.0,-0.0945109898153342
MYH9,1.0,0.2432845071139845
JUN,1.0,0.1360991820386442
RNF146,1.0,0.1300297146610337
RAB24,1.0,-0.1105190415522291
TRAPPC13,1.0,-0.0847274979360508
ARMC8,1.0,-0.1814441212712322
HNRNPF,1.0,0.0502063375754299
GATAD1,1.0,0.2030015599005767
ERLIN2,1.0,-0.1667564625382067
LMX1A,1.0,-0.2048000444698546
DCUN1D3,1.0,0.5864979123938531
SIN3B,1.0,-0.4264290849450377
LATS2,1.0,-0.1733114214192231
IL12B,1.0,0.1947601702604995
MCF2,1.0,-0.131607012277899
ANKRD23,1.0,-0.0391810743050225
SAV1,1.0,0.2333944781523904
SLITRK1,1.0,0.1240122718697586
FLT1,1.0,0.3872219792818369
POU5F1,1.0,0.1782509051048143
AP1M1,1.0,0.1160628727751508
MED30,1.0,0.1044901989956072
DTX4,1.0,0.2650357165439643
RAB3GAP2,1.0,-0.0926405603299014
FBXW7,1.0,-0.5426530160767558
EED,1.0,0.3214537962440458
TCEB3,1.0,0.1849147182247559
CHD2,1.0,0.4818064281787143
THOC6,1.0,0.2679479194112578
WEE1,1.0,-0.0524191083375621
FAM49B,1.0,-0.4251577962687748
CHKA,1.0,-0.0165811365042665
PTPN14,1.0,-0.0269233427242995
FOXP1,1.0,0.3496114903543713
RPS6KA1,1.0,-0.0284776710507745
TBX22,1.0,-0.2773586589330548
PAPOLG,1.0,-0.7132164121057728
SNRNP70,1.0,-0.1404813217546057
GPR50,1.0,0.4289375313115207
HPR,1.0,0.2175208614127843
FYCO1,1.0,-0.1105042118495546
TOX,1.0,0.1141953784711879
ZC3H15,1.0,-0.0384829060143757
C19ORF43,1.0,-0.1805517110286119
DMTF1,1.0,-0.0298202154840932
G3BP2,1.0,-0.0847410054231899
KMT2C,1.0,-0.6835738321508061
KPNA5,1.0,-0.3411293455726932
HELLS,1.0,-0.1818364213874322
ZNF763,1.0,0.4016423780148351
MAPK7,1.0,-0.228306921516097
LY6G5C,1.0,-0.4057402450526334
STRBP,1.0,-0.4032120109715089
PSME4,1.0,-0.1978408875077515
PLN,1.0,0.4826495067507096
MORC2,1.0,0.1913604782865072
ATP8B2,1.0,0.1603926792625782
MLLT1,1.0,0.1258195284071003
PLXNB2,1.0,-0.1638619957916404
C9ORF40,1.0,0.2859814242349585
NUP188,1.0,-0.2278252508168785
PDAP1,1.0,0.4573423771139595
TCEB2,1.0,0.148854469832526
PAGE4,1.0,-0.0959668622706601
ARR3,1.0,0.2368540457478553
HTR2C,1.0,-0.0573538296442252
ANKRD66,1.0,-0.1378662573880071
BPIFB6,1.0,0.1031332568198519
MED12L,1.0,-0.4913902978139391
RGS18,1.0,0.1904521958543439
ZNF521,1.0,-0.2533928480869388
ARIH1,1.0,-0.1380828927985828
DGKB,1.0,0.1044350449389983
FBXO38,1.0,0.1294661231579995
SEC11A,1.0,0.136865070058255
NAP1L4,1.0,0.0922105560636917
USP2,1.0,0.3065015994054154
SCP2D1,1.0,0.0548637074613393
NLRP6,1.0,-0.0020922659543395
PGF,1.0,-0.3001927655554604
GATS,1.0,-0.2839842236740563
RANBP6,1.0,-0.0700170856035802
ANP32C,1.0,-0.0308006786290057
ALG3,1.0,0.1916888926278166
ZC3H7B,1.0,-0.1130507761011749
EIF3H,1.0,-0.0483794962902946
